CD_PRODUIT|NOM_PRODUIT|PRIX_ACHAT_PRODUIT|PRIX_VENTE_PRODUIT|CD_SOUS_CATEGORIE
TEC-PH-5816|Samsung Convoy 3|53.2752|66.594|SC001
FUR-CH-5379|Novimex Executive Leather Armchair. Black|219.816|274.77|SC002
TEC-PH-5356|Nokia Smart Phone. with Caller ID|204.4512|255.564|SC001
TEC-PH-5267|Motorola Smart Phone. Cordless|437.0904|546.363|SC001
TEC-CO-6011|Sharp Wireless Fax. High-Speed|184.1424|230.178|SC018
TEC-PH-5842|Samsung Smart Phone. with Caller ID|203.568|254.46|SC001
FUR-CH-5378|Novimex Executive Leather Armchair. Adjustable|110.5056|138.132|SC002
FUR-TA-3764|Chromcraft Conference Table. Fully Assembled|372.9664|466.208|SC004
FUR-BO-5957|Sauder Facets Collection Library. Sky Alder Finish|95.7488|119.686|SC005
FUR-CH-4421|Global Push Button Manager's Chair. Indigo|43.8408|54.801|SC002
OFF-AR-5309|Newell 330|3.8272|4.784|SC006
FUR-TA-3420|Bevis Conference Table. Fully Assembled|111.0276|138.7845|SC004
TEC-PH-3807|Cisco Smart Phone. with Caller ID|157.0176|196.272|SC001
FUR-CH-4530|Harbour Creations Executive Leather Armchair. Adjustable|113.0832|141.354|SC002
OFF-AP-4959|KitchenAid Microwave. White|148.0608|185.076|SC007
OFF-AP-3575|Breville Refrigerator. Red|166.1856|207.732|SC007
OFF-ST-3078|Akro Stacking Bins|6.312|7.89|SC008
OFF-AP-4743|Hoover Stove. Red|181.9104|227.388|SC007
TEC-CO-3597|Brother Fax Machine. High-Speed|235.65456|294.5682|SC003
TEC-PH-52678|KitchenAid Stove. White|136.3896|170.487|SC007
